Entity,Code,Day,Total confirmed cases of COVID-19,Total confirmed cases of COVID-19 (WHO),Total confirmed cases of COVID-19,738545-annotations
Afghanistan,AFG,2020-02-24,5,,,
Afghanistan,AFG,2020-02-25,5,1,1,
Afghanistan,AFG,2020-02-26,5,1,1,
Afghanistan,AFG,2020-02-27,5,1,1,
Afghanistan,AFG,2020-02-28,5,1,1,
Afghanistan,AFG,2020-02-29,5,1,1,
Afghanistan,AFG,2020-03-01,5,1,1,
Afghanistan,AFG,2020-03-02,5,1,1,
Afghanistan,AFG,2020-03-03,5,1,,
Afghanistan,AFG,2020-03-04,5,1,,
Afghanistan,AFG,2020-03-05,5,1,,
Afghanistan,AFG,2020-03-06,5,1,,
Afghanistan,AFG,2020-03-07,8,1,,
Afghanistan,AFG,2020-03-08,8,4,4,
Afghanistan,AFG,2020-03-09,8,4,,
Afghanistan,AFG,2020-03-10,8,4,,
Afghanistan,AFG,2020-03-11,11,4,7,
Afghanistan,AFG,2020-03-12,11,7,,
Afghanistan,AFG,2020-03-13,11,7,,
Afghanistan,AFG,2020-03-14,14,7,,
Afghanistan,AFG,2020-03-15,20,10,10,
Afghanistan,AFG,2020-03-16,25,16,16,
Afghanistan,AFG,2020-03-17,26,21,21,
Africa,,2020-02-14,1,,,
Africa,,2020-02-15,1,,1,
Africa,,2020-02-16,1,,1,
Africa,,2020-02-17,1,,1,
Africa,,2020-02-18,1,,1,
Africa,,2020-02-19,1,,1,
Africa,,2020-02-20,1,,1,
Africa,,2020-02-21,1,,1,
Africa,,2020-02-22,1,,1,
Africa,,2020-02-23,1,,1,
Africa,,2020-02-24,1,,1,
Africa,,2020-02-25,2,,1,
Africa,,2020-02-26,2,,2,
Africa,,2020-02-27,2,,2,
Africa,,2020-02-28,3,,3,
Africa,,2020-02-29,3,,3,
Africa,,2020-03-01,4,,5,
Africa,,2020-03-02,8,,6,
Africa,,2020-03-03,11,,9,
Africa,,2020-03-04,21,,11,
Africa,,2020-03-05,24,,20,
Africa,,2020-03-06,43,,29,
Africa,,2020-03-07,43,,43,
Africa,,2020-03-08,83,,44,
Africa,,2020-03-09,91,,83,
Africa,,2020-03-10,104,,95,
Africa,,2020-03-11,118,,105,
Africa,,2020-03-12,134,,118,
Africa,,2020-03-13,176,,159,
Africa,,2020-03-14,252,,202,
Africa,,2020-03-15,317,,239,
Africa,,2020-03-16,404,,324,
Africa,,2020-03-17,492,,402,
Albania,ALB,2020-03-09,2,2,2,
Albania,ALB,2020-03-10,10,2,6,
Albania,ALB,2020-03-11,12,10,10,
Albania,ALB,2020-03-12,23,10,11,
Albania,ALB,2020-03-13,33,23,23,
Albania,ALB,2020-03-14,38,33,33,
Albania,ALB,2020-03-15,42,38,38,
Albania,ALB,2020-03-16,51,42,42,
Albania,ALB,2020-03-17,55,51,51,
Algeria,DZA,2020-02-25,1,,,
Algeria,DZA,2020-02-26,1,1,1,
Algeria,DZA,2020-02-27,1,1,1,
Algeria,DZA,2020-02-28,1,1,1,
Algeria,DZA,2020-02-29,1,1,1,
Algeria,DZA,2020-03-01,1,1,3,
Algeria,DZA,2020-03-02,3,1,3,
Algeria,DZA,2020-03-03,5,5,,
Algeria,DZA,2020-03-04,12,5,5,
Algeria,DZA,2020-03-05,12,12,12,
Algeria,DZA,2020-03-06,17,12,17,
Algeria,DZA,2020-03-07,17,17,,
Algeria,DZA,2020-03-08,19,17,,
Algeria,DZA,2020-03-09,20,20,20,
Algeria,DZA,2020-03-10,20,20,,
Algeria,DZA,2020-03-11,20,20,,
Algeria,DZA,2020-03-12,24,25,20,
Algeria,DZA,2020-03-13,26,25,25,
Algeria,DZA,2020-03-14,37,26,26,
Algeria,DZA,2020-03-15,48,37,37,
Algeria,DZA,2020-03-16,54,49,48,
Algeria,DZA,2020-03-17,60,60,58,
Andorra,AND,2020-03-02,1,,,
Andorra,AND,2020-03-03,1,1,1,
Andorra,AND,2020-03-04,1,1,,
Andorra,AND,2020-03-05,1,1,,
Andorra,AND,2020-03-06,1,1,,
Andorra,AND,2020-03-07,1,1,,
Andorra,AND,2020-03-08,1,1,,
Andorra,AND,2020-03-09,1,1,,
Andorra,AND,2020-03-10,1,1,,
Andorra,AND,2020-03-11,1,1,,
Andorra,AND,2020-03-12,1,1,,
Andorra,AND,2020-03-13,1,1,,
Andorra,AND,2020-03-14,1,2,2,
Andorra,AND,2020-03-15,1,2,,
Andorra,AND,2020-03-16,2,2,5,
Andorra,AND,2020-03-17,39,14,14,
Antigua and Barbuda,ATG,2020-03-13,1,,,
Antigua and Barbuda,ATG,2020-03-14,1,1,,
